title,rating,genre,cleaned_tokens
Puss in Boots: The Last Wish,86.0,"'Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Fantasy'",pus boot discover passion adventure take toll burn eight nine live leave one life leave puss set epic journey find mythical last wish restore nine live
M3GAN,74.0,"'Science Fiction', 'Horror', 'Comedy'",brilliant toy company robotics use artificial intelligence develop man lifelike doll program emotionally bond newly orphan niece doll program work well become overprotective new friend terrify result
Avatar: The Way of Water,77.0,"'Science Fiction', 'Adventure', 'Action'",set decade event first film learn story sully family jake kid trouble follow length go keep safe battle fight stay alive tragedy endure
The Enforcer,70.0,"'Action', 'Thriller', 'Drama'",noir thriller set miami film follow enforcer discover femme fatale boy branch cyber sex traffic put young runaway he befriend risk sacrifice everything save young girl deadly organization he spend life build
Violent Night,77.0,"'Action', 'Comedy', 'Crime', 'Thriller'",team mercenary break wealthy family compound christmas eve take everyone inside hostage team isn't prepare surprise combatant santa claus ground hes show nick saint
Troll,67.0,"'Fantasy', 'Action', 'Adventure', 'Thriller'",deep inside mountain dove something gigantic awaken trap thousand year destroy everything path creature fast approach capital norway stop something think exist norwegian folklore
Black Adam,72.0,"'Fantasy', 'Action', 'Science Fiction'",nearly year bestow almighty power egyptian godsend imprison adam free earthly tomb ready unleash unique form justice modern world
Avatar,76.0,"'Action', 'Adventure', 'Fantasy', 'Science Fiction'",and century paraplegic marine dispatch moon pandora unique mission become tear follow order protect alien civilization
Black Panther: Wakanda Forever,75.0,"'Action', 'Adventure', 'Science Fiction'",queen ramona shui make okay dora mile fight protect nation intervene world power wake king challah death wakandans strive embrace next chapter hero must band together help war dog naka everett ross forge new path kingdom amanda
Savage Salvation,64.0,"'Action', 'Mystery', 'Thriller', 'Crime', 'Drama'",newly engage shelby john ruby red want fresh start struggle addiction shelby discover beloved ruby dead porch embark vengeful kill spree dealer supply arm nothing adrenaline nail gun shelby begin unleash chaos town criminal underbelly hunt crime lord coyote sheriff church must race clock put end shelby vigilante justice entire town descend bloodbath
Glass Onion: A Knives Out Mystery,71.0,"'Comedy', 'Crime', 'Mystery'",detective benefit blanc head greece peel back layer mystery surround tech billionaire eclectic crew friend
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",71.0,"'Adventure', 'Family', 'Fantasy'",sibling lucy edmund susan peter step magical wardrobe find land narnian discover charm peaceful kingdom plunge eternal winter evil white witch janis aid wise magnificent lion aslan child lead narnian spectacular climactic battle free witch glacial power forever
The Big 4,70.0,"'Action', 'Comedy', 'Crime'",female detective team four assassin investigate father murder
The Woman King,79.0,"'Action', 'Drama', 'History'",story agonies unit warrior protect african kingdom homey skill fierceness unlike anything world ever see general lanista train next generation recruit ready battle enemy determine destroy way life
Roald Dahl's Matilda the Musical,69.0,"'Family', 'Comedy', 'Fantasy'",extraordinary young girl discover superpower summon remarkable courage odds help others change story whilst also take charge destiny stand whats right shes meet miraculous result
Exploits of a Young Don Juan,57.0,"'Comedy', 'Drama'",roger yearly seek lose virginity erotic drama initial effort unsuccessful world war break men see march battle roger go overboard present several amorous opportunity
My Name Is Vendetta,68.0,"'Action', 'Crime', 'Thriller'",old enemy kill family former mafia enforcer feisty daughter flee milan hide plot revenge
High Heat,57.0,"'Action', 'Comedy', 'Crime'",local mafia show burn restaurant ana chef meticulous past defend turf prove knife skill kitchen
Detective Knight: Rogue,61.0,"'Action', 'Crime'",los angeles prepare halloween arm robber critically wind detective jam knight partner shootout follow heist knight hot pursuit bandit flee la new york detective dark past collide present case threaten tear world redemption claim knight first
House Party,72.0,'Comedy',aspire club promoter best bud damon kevin barely keep thing together money luck lose roof headband freshly fire lowlife job house pair need huge windfall make problem go away hell move decide host party year exclusive mansion site last clean job happen belong none lebron jam permission problem could go wrong
A Frozen Rooster,81.0,"'Animation', 'Adventure', 'Comedy', 'Family'",rooster toto new enemy pirate plan turn cryogenically freeze rooster
Strange World,66.0,"'Animation', 'Science Fiction', 'Adventure', 'Family'",journey deep uncharted treacherous land fantastical creature await legendary blades family explorer whose difference threaten topple late far crucial mission
R.I.P.D. 2: Rise of the Damned,66.0,"'Fantasy', 'Action', 'Comedy', 'Crime'",sheriff roy find join special police force return earth save humanity undead
Hex,59.0,"'Action', 'Horror', 'Thriller'",follow mysterious disappearance jump group skydiver experience paranormal occurrence leave fight live
Sniper: The White Raven,77.0,"'War', 'Action', 'Drama'",moola eccentric pacifist want useful humanity war begin donnas naive world collapse militant kill pregnant wife burn home grind recover make cardinal decision get enlist sniper company meet wifes killer emotionally break arrange sniper terror enemy he save senseless death instructor get mortally wound death friend leave scar moola ready sacrifice life
The Key Game,57.0,'Comedy',laura antonio life begin wonder really life want sergio sienna cross path live sergio former high school classmate sienna millennial girlfriend arrive revolutionize everyones live laura raquel cris close friend year convince respective husband play game sienna propose game key game consist everyone put key bowl random one choose key must go spend night owner key game revolutionize group friend live make discover really want
The Boss Baby: Christmas Bonus,67.0,"'Animation', 'Family', 'Adventure'",christmas eve take twisty turn boy baby accidentally swap place one santa elves get strand north pole
Women in Fury,47.0,"'Action', 'Drama'",young pretty shy angela duval jail murder latin american country prison get brutally initiate inmate nice honest handsome prison doctor believe shes innocent try help
Wolf Hound,57.0,"'War', 'Action'",inspire realize german special operation unit keg shoot repair fly ally aircraft trojan horse wolf hound take place france follow dare exploit fighter pilot captain david holden ambush behind enemy line holden must rescue capture i fly fortress crew evade ruthless enemy stalk every turn foil plot could completely alter outcome world war ii
